Ord,Betydelse
Visavi,"Mitt emot, gentemot"
Dekadent,"förfallen, fördärvad"
Ambivalens,"kluven, osäker"
Pretention,"anspråk, ; anspråksfullhet, krav"
Gnostisk,"En religiös kategori, (kanske uppkommen för att behandla teodiceproblemet)"
Epitet,Namngivning
Kronocentrism,Tron att vissa tidsepoker är bättre (typiskt nutid)
Infantiliseras,Göras barnslig
Myteri,Begå brott mot kapten (eller chef mm)
Ministär,regering
Disparat,"Olikartad, oförenlig"
Semantik,Studie av språklig betydelse (eller teckensystem)
Ukas,"tsarens bestämmelse, påbud, förordning"
Proklamera,"tillkännage, kungöra"
Förkunna,proklamera
Diskurs,debatt
Gerilla,"motståndsrörelse, små grupper som krigar på flera fronter"
Patologisk,"sjuklig, onormal"
Pogrom,Judeförföljelser
Androgyn,"Ett faktiskt biologiskt mellanting mellan man och kvinna, ej transexuel"
Ömsom,växelvis: ömsom dittan ömsom dattan
Omnipotent,Allsmäktig
Fonetik,Läran om talet
Hypokondri,"""inbillssjuk"""
Kuva,"besegra, slå ned"
Prekär,"omtålig, besvärlig, bekymmersam"
Exo/esoterisk,"Esoterisk - ""Hemlig lära"", Exoterisk - motsats"
Kolorit,"färgtema, på en bild oftast"
Indignation,"förtrytelse, vrede"
Status quo,Det som är standard bland folk
Chimär,"Något som inte finns, drömbild, illusion"
Holistisk,"Helheten är större än summan av dess delar typ, Grekiska Holos = helhet"
Potens,"samlagsduglig, viril, kraftfull"
Dramaturg,"kännare av drama, skådespelsförfattare"
Noblesse oblige,"Från när adeln talade franska i England, betyder typ ""nobility obliges"", är du adel ska du bete dig som det"
Allsköns,Alla möjliga
Mönstergill,"exemplarisk, utmärkt"
Kvasi,"skenbar, oäkta"
Exploatera,"Utnyttja, förädla"
Autonomi,"självständighet, självbestämmanderätt"
Voyerism,Sexuel njutning av att titta på andra i explicita situationer
Egelitärianism,Politisk doktrin som säger att alla ska behandlas lika från födsel
Meritokrati,Dina meriter ska bestämma hur du klarar dig i samhället
Masochism,"Tänder på att bli utsatt för smärta av dig själv eller andra, psykiskt eller fysiskt"
Sadomasochism,Ett förhållande mellan 2 eller flera där såväl masochism som sadism förekommer
Sadism,"Tänder på att utsätta någon för smärta, psykiskt eller fysiskt"
Nomader,Folkgrupp som inte är bosatta och livnär sig på boskapssköttsel och jakt
Narig,"torr, sprucken,  skovlig"
Kantin,"matsal, används mest militärt"
Frapperande / frappant,"slånde, iögonfallande"
Omkväde,"Som refräng, fast kan vara i en vanlig dikt också"
"Delirium, dille","Nedsatt förmåga att korrekt identifiera tid, rum, egen person och aktuell situation, Dille kan också vara: besatthet"
Imbecill,"svag, kraftlös"
Erinra,minna sig
Fördrag,"1. avtal 2. tålamod, överseende"
Pedantisk,Överdrivet nogrann
Blid,"vänlig, mild"
Dunkel,Mörker
